instance_class,instance_name,instance_directory,mps_path,std_path,data_path,mps_file_count,std_file_count,data_file_count,data_error,mnes_keys_present,mnes_success,oss_keys_present,oss_success,highs_mps_success,highs_std_success,cond_mnes,cond_oss,cycle_count_mnes,cycle_count_mnes_recomputed_from_split,cycle_count_oss,cycle_count_oss_recomputed_from_split,epsilon,qlsa_cycles_mnes,qlsa_cycles_oss,qlsa_fraction_of_total_mnes,qlsa_fraction_of_total_oss,qlsa_time_800ps_mnes_seconds,qlsa_time_800ps_oss_seconds,qlsa_time_800ps_over_highs_std_mnes,qlsa_time_800ps_over_highs_std_oss,runtime_glpk,runtime_highs_mps,runtime_highs_std,sparsity_mnes,sparsity_oss,std_m,std_n,tomography_factor_mnes,tomography_factor_oss,tomography_repetition_cycles_mnes,tomography_repetition_cycles_oss,tomography_repetition_fraction_of_total_mnes,tomography_repetition_fraction_of_total_oss,total_time_800ps_mnes_seconds,total_time_800ps_oss_seconds,total_time_800ps_over_highs_std_mnes,total_time_800ps_over_highs_std_oss
clique,C1000.9_clq,cache_dir/clique/C1000.9_clq,cache_dir/clique/C1000.9_clq/C1000.9_clq.mps,cache_dir/clique/C1000.9_clq/C1000.9_clq.std,cache_dir/clique/C1000.9_clq/C1000.9_clq.data,1,1,1,,True,True,True,True,True,True,203.33544679981017,6.751618536905615,11075960175807998,11075960175807998,613260546199199,613260546199199,0.1,2196739424,59631912,1.983339944466482e-07,9.723748310498747e-08,1.7573915392000001,0.047705529600000005,8.51569573846749,0.23116406677420673,4.103687,0.06391016114503145,0.2063708701170981,50421,50422,50421,51421,5041999.999999999,10284099.999999998,11075957979068574,613260486567287,0.9999998016660055,0.9999999027625169,8860768.140646398,490608.4369593592,42936137.91335307,2377314.3791126153
clique,C125.9_clq,cache_dir/clique/C125.9_clq,cache_dir/clique/C125.9_clq/C125.9_clq.mps,cache_dir/clique/C125.9_clq/C125.9_clq.std,cache_dir/clique/C125.9_clq/C125.9_clq.data,1,1,1,,True,True,True,True,True,True,31.738994994221535,5.633737213805906,387047459999,387047459999,135220960799,135220960799,0.1,4248600,652296,1.0976948408370841e-05,4.823926676350194e-06,0.00339888,0.0005218368,0.618253231106605,0.09492164704559479,0.006254,0.0037192630115896463,0.005497553152963519,912,913,912,1037,91099.99999999999,207299.99999999997,387043211399,135220308503,0.9999890230515917,0.9999951760733237,309.6379679992,108.1767686392,56322.8693536662,19677.257432406284
clique,C2000.5_clq,cache_dir/clique/C2000.5_clq,cache_dir/clique/C2000.5_clq/C2000.5_clq.mps,cache_dir/clique/C2000.5_clq/C2000.5_clq.std,cache_dir/clique/C2000.5_clq/C2000.5_clq.data,1,1,1,,False,False,False,False,True,True,,,,,,,,,,,,,,,,39.414006,1.345895758131519,4.906781313940883,,,,,,,,,,,,,,
clique,C2000.9_clq,cache_dir/clique/C2000.9_clq,cache_dir/clique/C2000.9_clq/C2000.9_clq.mps,cache_dir/clique/C2000.9_clq/C2000.9_clq.std,cache_dir/clique/C2000.9_clq/C2000.9_clq.data,1,1,1,,False,False,False,False,True,True,,,,,,,,,,,,,,,,34.282776,0.2743303971365094,1.094159193104133,,,,,,,,,,,,,,
clique,C250.9_clq,cache_dir/clique/C250.9_clq,cache_dir/clique/C250.9_clq/C250.9_clq.mps,cache_dir/clique/C250.9_clq/C250.9_clq.std,cache_dir/clique/C250.9_clq/C250.9_clq.data,1,1,1,,True,True,True,True,True,True,56.529222162620805,7.518591767254078,10953483239999,10953483239999,2698338599999,2698338599999,0.1,32311160,3706000,2.9498525073749007e-06,1.373437714600152e-06,0.025848928,0.0029648,1.88661822858547,0.2163898527672096,0.041826,0.005973997060209513,0.013701196992769837,3391,3392,3391,3641,338999.99999999994,728099.9999999999,10953450928839,2698334893999,0.9999970501474926,0.9999986265622854,8762.7865919992,2158.6708799992,639563.579490416,157553.45179974692
clique,C4000.5_clq,cache_dir/clique/C4000.5_clq,cache_dir/clique/C4000.5_clq/C4000.5_clq.mps,cache_dir/clique/C4000.5_clq/C4000.5_clq.std,cache_dir/clique/C4000.5_clq/C4000.5_clq.data,1,1,1,,False,False,False,False,True,True,,,,,,,,,,,,,,,,52.102699,5.799100226024166,22.49155808496289,,,,,,,,,,,,,,
clique,C500.9_clq,cache_dir/clique/C500.9_clq,cache_dir/clique/C500.9_clq/C500.9_clq.mps,cache_dir/clique/C500.9_clq/C500.9_clq.std,cache_dir/clique/C500.9_clq/C500.9_clq.data,1,1,1,,True,True,True,True,True,True,104.92809646800728,10.243441631991042,334493279195199,334493279195199,58344098831999,58344098831999,0.1,258955856,21741792,7.741735697143323e-07,3.726476616359296e-07,0.2071646848,0.0173934336,4.155078261006861,0.3488580976308676,0.498163,0.017240665154531598,0.04985819081775844,12918,12919,12918,13418,1291699.9999999998,2683499.9999999995,334493020239343,58344077090207,0.9999992258264303,0.9999996273523384,267594.6233561592,46675.2790655992,5367114.589742547,936160.7049924171
clique,DSJC1000.5_clq,cache_dir/clique/DSJC1000.5_clq,cache_dir/clique/DSJC1000.5_clq/DSJC1000.5_clq.mps,cache_dir/clique/DSJC1000.5_clq/DSJC1000.5_clq.std,cache_dir/clique/DSJC1000.5_clq/DSJC1000.5_clq.data,1,1,1,,False,False,False,False,True,True,,,,,,,,,,,,,,,,19.573553,0.31025975407101214,1.1818157760426402,,,,,,,,,,,,,,
clique,DSJC500.5_clq,cache_dir/clique/DSJC500.5_clq,cache_dir/clique/DSJC500.5_clq/DSJC500.5_clq.mps,cache_dir/clique/DSJC500.5_clq/DSJC500.5_clq.std,cache_dir/clique/DSJC500.5_clq/DSJC500.5_clq.data,1,1,1,,True,True,True,True,True,True,500.96603461514474,22.382270541996963,44617214416199992,44617214416199992,3387776913663999,3387776913663999,0.1,7124505296,268336640,1.5968063872255491e-07,7.920729340757699e-08,5.6996042368,0.214669312,22.20626468239976,0.8363744855620103,2.878708,0.07702532387338579,0.25666650012135506,62626,62627,62626,63126,6262499.999999999,12625099.999999998,44617207291694696,3387776645327359,0.9999998403193613,0.9999999207927066,35693771.53296,2710221.5309311994,139066732.57352847,10559311.517668935
clique,MANN_a27_clq,cache_dir/clique/MANN_a27_clq,cache_dir/clique/MANN_a27_clq/MANN_a27_clq.mps,cache_dir/clique/MANN_a27_clq/MANN_a27_clq.std,cache_dir/clique/MANN_a27_clq/MANN_a27_clq.data,1,1,1,,True,True,True,True,True,True,16.3851648071345,4.047859286973115,269410762399,269410762399,159371211999,159371211999,0.1,2496856,546728,9.267840593176198e-06,3.4305317324400505e-06,0.0019974848,0.0004373824,0.3765525648263571,0.08245242443392192,0.024458,0.0038671561051160097,0.00530466390773654,1080,1081,1080,1458,107899.99999999999,291499.99999999994,269408265543,159370665271,0.9999907321594068,0.9999965694682675,215.5286099192,127.4969695992,40630.021744613114,24034.881722337428
